Source,Target,Weight

30,31,1
30,32,1
30,33,1
30,59,1
31,32,1
31,34,1
32,35,1
33,34,1
34,35,1
35,37,1
35,54,1
36,37,0.1
36,53,0.1
37,50,1
38,40,0.1
39,40,0.1
40,44,1
40,44,1
41,43,0.1
42,43,0.1
43,45,1
43,45,1
44,46,1
45,46,1
46,48,1
47,48,0.1
48,49,1
49,50,1
49,52,1
50,51,1
51,52,1
52,53,1
53,54,1
54,55,1
55,57,1
56,57,0.1
57,59,1
58,59,0.1
59,59,1

d0,d1,0.01
d1,d2,0.01
d2,d3,0.01
d3,d4,0.01
d4,d5,0.01
d5,d6,0.01
d6,d7,0.01
d7,d8,0.01
d8,d9,0.01
d9,d10,0.01
d10,d11,0.01
d11,d12,0.01
d12,d13,0.01
d13,d14,0.01

d1,30,0.01
d2,31,0.01
d3,32,0.01
d2,33,0.01
d3,34,0.01
d4,35,0.01
d4,36,0.01
d5,37,0.01
d0,38,0.01
d0,39,0.01
d1,40,0.01
d0,41,0.01
d0,42,0.01
d1,43,0.01
d2,44,0.01
d2,45,0.01
d3,46,0.01
d3,47,0.01
d4,48,0.01
d5,49,0.01
d6,50,0.01
d7,51,0.01
d8,52,0.01
d9,53,0.01
d10,54,0.01
d11,55,0.01
d11,56,0.01
d12,57,0.01
d12,58,0.01
d13,59,0.01
